PSP:ON_PROT_INTERACT,count
HSF1,4
GRP78,4
VAPA,4
HOPX,4
leupaxin,4
RAP1GDS1,4
RICTOR,4
RAP80,4
RNF41,4
MCM5,4
CCNT1,4
ATP2A1,4
IGF1R,4
FNIP2,4
XRCC1,4
AIP1,4
PXN iso2,4
C/EBP-epsilon,4
NEK2,4
DVL2,4
Huntingtin,4
CCNB1,4
GULP1,4
PARK2,4
PPAR-gamma,4
SETD2,4
RBPJ,4
GIT1,4
RCOR1,4
RIPK1,4
CK1A,4
G-alpha i3,4
APC,4
MSH2,4
THOC4,4
Cortactin,4
LC8,4
RAN,4
TNC,4
C16orf82,4
Ig-alpha,4
GABARAPL2,4
ATF-4,4
DOK2,4
RFC1,4
DLG1,4
GluR2,4
FBXW2,4
NPRL2,4
ITCH,4
DEPDC5,4
NPRL3,4
APP,4
CBFB,4
TEC,4
CUL4A,4
PRB1,4
H4,4
CTK,4
CASP9,4
SNAP-25,4
RAD17,4
SEC62,4
STRAD,4
ITGAM,4
Mrf-2,4
G3BP-1,4
kindlin-2,4
G-beta 1,4
AP1M1,3
PKN1,3
LIFR,3
FOXO3A,3
OIP5,3
FBXL7,3
Cbl-c,3
SOCS1,3
PRC1,3
DAXX,3
POLR2F,3
PPM1D,3
MYO1C,3
NOXA1,3
CISH,3
SIAH2,3
UBXN6,3
Restin,3
NEDD4 iso4,3
EPS15,3
WWP2,3
ATG5,3
AKAP9,3
MTA1,3
cIAP1,3
TICAM1,3
PGK1,3
EED,3
NRF2,3
MALT1,3
PERK,3
PAX3,3
EGR2,3
SHB,3
TIF1G,3
TRIP12,3
ENaC-alpha,3
Hrs,3
Merlin,3
NUP153,3
BUB3,3
kindlin-3,3
FBXO3,3
RND1,3
S100A10,3
GTF2F1,3
TNNT1,3
HSPA9B,3
Tau,3
PPP2R2A,3
TRIM24,3
LIMK1,3
Bcl-3,3
STRAP,3
EPB41L1,3
FBXL17,3
MUS81,3
NOX1,3
eIF4G,3
MOAP1,3
RIPK3,3
ATP1A1,3
SH3BGRL3,3
ZO2,3
APAF,3
LEF-1,3
Desmoplakin,3
Hck,3
SF3A1,3
TAP,3
U2AF2,3
RAB11A,3
TRAIL-R1,3
SLC7A11,3
DNAJC7,3
DROSHA,3
Tau iso8,3
HDAC7,3
ARPC3,3
FABP4,3
ULK1,3
TRIM25,3
PKM iso2,3
LARP7,3
APTX,3
Pyk2,3
CDC25C,3
SPTAN1,3
EZH2,3
DBN1,3
CLASP1,3
MOB1B,3
BCLAF1,3
ADD3,3
FHOD1,3
ATP5A1,3
osterix,3
DBC1,3
CD3G,3
PTP-PEST,3
p90RSK,3
PABP 1,3
BID,3
RAB3IP,3
ATG7,3
Stargazin,3
Abi-1,3
MYO10,3
USP9X,3
desmin,3
HuR,3
FRS2,3
UPF3B,3
LAMP2,3
LEPR,3
SMG7,3
HCCA2,3
Fos,3
Alix,3
RASSF6,3
U2AF1,3
VHL,3
HSP27,3
LRP5,3
hnRNP D0,3
G-gamma 2,3
EBNA1BP2,3
IRAK1,3
SCN2A,3
KLHL2,3
SAS6,3
USP5,3
UBE2D1,3
XPC,3
CAF-1A,3
RIGI,3
CXCR4,3
CUL1,3
MMP9,3
CCNA1,3
HMGB1,3
eIF2-alpha,3
KLHL20,3
TTK,3
RARB,3
CASP2,3
ALDH1B1,3
ID2,3
Tip60,3
HEXIM1,3
HSP20,3
SETDB1,3
SUV39H1,3
VTA1,3
WAVE2,3
RHOC,3
LRCH1,3
SELPLG,3
DLC1,3
PPP5C,3
CCTA,3
GEMIN3,3
BUB1B,3
RHOT2,3
TXN,3
eIF2-beta,3
TSC2,3
CDKN3,3
WDHD1,3
BIM,3
TAB2,3
