Combined:Interactions,count
CDC37->INDUCES,372
VIM->INDUCES,370
GATA1->INDUCES,368
CDK19->INDUCES,367
PSMA5->INDUCES,365
MCM4->INDUCES,364
SSRP1->INDUCES,363
AKT1->REGULATES,363
YES1->INDUCES,362
PSMD7->INDUCES,361
RPTOR->INDUCES,360
PRKN->INDUCES,358
FOXO1->INDUCES,355
RPLP1->INDUCES,355
BANF1->INDUCES,355
GRK2->INDUCES,354
RPS17->INDUCES,354
RET->INDUCES,352
XRCC6->INDUCES,351
SMARCE1->INDUCES,351
PSMA7->INDUCES,350
YY1->INDUCES,349
TP53BP1->INDUCES,345
LMNA->INDUCES,344
RPS11->INDUCES,342
PSMC3->INDUCES,342
IL4R->INDUCES,341
PSMC4->INDUCES,341
MAPK3->REGULATES,340
ILK->INDUCES,339
ITGB2->INDUCES,338
CCNB1->INDUCES,337
PSMD6->INDUCES,337
RPL31->INDUCES,337
FEN1->INDUCES,335
SMARCB1->INDUCES,335
PSMC1->INDUCES,334
STAM2->INDUCES,333
IPO5->INDUCES,333
RPL10A->INDUCES,332
CDC20->INDUCES,331
SMARCD1->INDUCES,331
DHX9->INDUCES,330
CREB1->INDUCES,328
ERBB3->INDUCES,328
INPPL1->INDUCES,327
NOP58->INDUCES,325
ATM->REGULATES,324
ABI1->INDUCES,324
CDKN1B->INDUCES,322
COL17A1->INDUCES,322
PRPF4->INDUCES,320
PTEN->INDUCES,320
MYOD1->INDUCES,320
ITCH->INDUCES,319
ERBB4->INDUCES,319
HNF4A->INDUCES,318
PSMC6->INDUCES,318
RANBP2->INDUCES,318
RPL7->INDUCES,318
RBBP5->INDUCES,317
ARRB1->INDUCES,317
MAPRE1->INDUCES,315
RPL37A->INDUCES,314
ARF1->INDUCES,313
LMNB1->INDUCES,313
STRN4->INDUCES,312
VCL->INDUCES,312
ARHGEF7->INDUCES,312
HGS->INDUCES,311
UBTF->INDUCES,311
RPL38->INDUCES,311
NUP62->INDUCES,311
CFTR->INDUCES,309
PSMD14->INDUCES,308
CUL1->INDUCES,306
PSMB10->INDUCES,306
PLK1->REGULATES,305
STRN3->INDUCES,305
SHC2->INDUCES,304
NEDD9->INDUCES,304
CHAF1A->INDUCES,303
AP1B1->INDUCES,303
EIF3G->INDUCES,301
MAP3K5->INDUCES,301
HNRNPA1->INDUCES,301
IRAK1->INDUCES,300
SNRPD3->INDUCES,300
SOS2->INDUCES,300
RPL17->INDUCES,299
NHERF1->INDUCES,299
CCND1->INDUCES,299
TNKS->INDUCES,297
HDAC5->INDUCES,296
RPL22->INDUCES,295
PARD3->INDUCES,295
KRT18->INDUCES,294
MAP3K1->INDUCES,293
RPL34->INDUCES,292
FLT1->INDUCES,292
IQGAP1->INDUCES,292
ITGB1->INDUCES,292
FOS->INDUCES,291
MSH2->INDUCES,291
DCTN1->INDUCES,291
FANCD2->INDUCES,291
BAD->INDUCES,290
AGO2->INDUCES,290
PSMB2->INDUCES,290
TNPO1->INDUCES,289
MED28->INDUCES,288
RNPS1->INDUCES,287
AP2M1->INDUCES,287
GGA3->INDUCES,286
WRN->INDUCES,286
CDCA8->INDUCES,286
MAPT->INDUCES,285
PSMD1->INDUCES,285
GNAI1->INDUCES,284
PTPN2->INDUCES,283
GRAP2->INDUCES,283
PPL->INDUCES,281
RPS23->INDUCES,281
ADRB2->INDUCES,280
PSMA3->INDUCES,280
BMS1->INDUCES,280
WDR5->INDUCES,280
PSMD8->INDUCES,279
NOTCH1->INDUCES,278
RPL37->INDUCES,277
DAXX->INDUCES,277
DVL2->INDUCES,276
CDC16->INDUCES,276
VAV2->INDUCES,275
EPN1->INDUCES,275
GAPDH->INDUCES,275
NUP98->INDUCES,273
NF2->INDUCES,273
GJA1->INDUCES,273
SNRPD2->INDUCES,273
MED26->INDUCES,272
PSMB7->INDUCES,271
THRB->INDUCES,270
SKP2->INDUCES,270
EIF3I->INDUCES,268
MAPK8->INDUCES,268
TSC1->INDUCES,268
SMARCC2->INDUCES,268
RPS6KB1->INDUCES,267
WASF1->INDUCES,266
NDEL1->INDUCES,266
KIF15->INDUCES,266
MED17->INDUCES,266
MYB->INDUCES,265
KPNA2->INDUCES,265
GRB14->INDUCES,265
PRKCQ->INDUCES,264
EPS8->INDUCES,264
CASP8->INDUCES,264
RPL26->INDUCES,264
EIF6->INDUCES,264
CSNK1E->INDUCES,263
AP2A1->INDUCES,263
NCOA1->INDUCES,263
RAB6A->INDUCES,262
PSMA1->INDUCES,262
FER->INDUCES,261
HSPD1->INDUCES,261
MCL1->INDUCES,260
PSMB1->INDUCES,260
EMD->INDUCES,260
ITGB4->INDUCES,260
SHB->INDUCES,259
PKP1->INDUCES,258
MAP2K4->INDUCES,258
ASH2L->INDUCES,258
DCN->INDUCES,256
PKP2->INDUCES,255
PWP2->INDUCES,255
ORC2->INDUCES,255
DKC1->INDUCES,255
FBXW11->INDUCES,255
MSN->INDUCES,254
RICTOR->INDUCES,254
FMR1->INDUCES,253
PDGFRA->INDUCES,252
DMD->INDUCES,252
DNM2->INDUCES,251
SPI1->INDUCES,251
PPP2R1B->INDUCES,250
EEF2->INDUCES,250
TERF2->INDUCES,250
KRR1->INDUCES,250
MCPH1->INDUCES,249
ARRB2->INDUCES,248
PTPRJ->INDUCES,248
BARD1->INDUCES,247
RIPK1->INDUCES,247
USP14->INDUCES,247
MED23->INDUCES,246
TBK1->INDUCES,246
PTPN12->INDUCES,245
CDC23->INDUCES,245
ENAH->INDUCES,244
CANX->INDUCES,243
FES->INDUCES,243
GGA1->INDUCES,243
EIF2AK2->INDUCES,243
BLNK->INDUCES,242
AURKA->INDUCES,241
KAT2A->INDUCES,241
RBX1->INDUCES,240
CD247->INDUCES,240
BLK->INDUCES,239
MLST8->INDUCES,239
PPARG->INDUCES,238
PPP2R5A->INDUCES,238
USP11->INDUCES,238
ALK->INDUCES,237
STUB1->INDUCES,237
DNAJB1->INDUCES,237
ACTL6A->INDUCES,237
CASP6->INDUCES,237
GTF2I->INDUCES,236
NEDD8->INDUCES,234
SUPT5H->INDUCES,234
NCOA6->INDUCES,233
BAIAP2->INDUCES,233
RRAS->INDUCES,233
EPHA2->INDUCES,231
RPL14->INDUCES,230
SGO1->INDUCES,229
NCF1->INDUCES,229
EIF2S1->INDUCES,228
MARK2->INDUCES,228
UBE2L3->INDUCES,228
SNU13->INDUCES,228
CUL4A->INDUCES,227
XIAP->INDUCES,227
RAP1A->INDUCES,226
ASAP1->INDUCES,225
KRT8->INDUCES,225
STX4->INDUCES,225
RAD52->INDUCES,225
LRIG1->INDUCES,225
GNA11->INDUCES,225
PLD1->INDUCES,224
POLR2B->INDUCES,224
PAG1->INDUCES,224
PRKAA2->INDUCES,222
GTF2F1->INDUCES,222
RAB5A->INDUCES,221
NOP2->INDUCES,221
MAPK14->REGULATES,221
MVP->INDUCES,220
CARM1->INDUCES,219
CD40->INDUCES,219
VASP->INDUCES,219
THRA->INDUCES,219
FRS2->INDUCES,219
ABL1->REGULATES,218
F2->INDUCES,218
GGA2->INDUCES,218
NPHS1->INDUCES,217
LRP2->INDUCES,217
FBL->INDUCES,216
KPNA1->INDUCES,216
TNK2->INDUCES,215
FADD->INDUCES,215
ANAPC2->INDUCES,214
PSMB4->INDUCES,214
CD4->INDUCES,214
HSP90AB1->INDUCES,212
EPB41->INDUCES,212
CDK7->INDUCES,212
RPL10->INDUCES,211
NUP153->INDUCES,211
SOCS3->INDUCES,210
VAV3->INDUCES,210
AXIN2->INDUCES,209
ARID1A->INDUCES,209
EGF->INDUCES,209
IRF3->INDUCES,208
DAG1->INDUCES,207
SRPK1->INDUCES,207
SUZ12->INDUCES,207
CCT2->INDUCES,207
FGR->INDUCES,207
IL6ST->INDUCES,206
MCM6->INDUCES,206
STK11->INDUCES,206
TOP2B->INDUCES,206
ITGA6->INDUCES,205
SNRNP200->INDUCES,205
CASP9->INDUCES,205
S100B->INDUCES,205
EXOSC10->INDUCES,205
BCL6->INDUCES,205
PRKCI->INDUCES,205
MTA1->INDUCES,205
RBPJ->INDUCES,204
MEN1->INDUCES,204
NCOA3->INDUCES,203
IL2RB->INDUCES,203
TGFB1I1->INDUCES,203
REL->INDUCES,203
CDK11B->INDUCES,202
MED12->INDUCES,202
TGFA->INDUCES,202
SETDB1->INDUCES,202
HCFC1->INDUCES,202
KRT5->INDUCES,201
ID3->INDUCES,201
STAM->INDUCES,201
CYFIP2->INDUCES,201
MCM10->INDUCES,201
CSNK1D->INDUCES,200
PIK3CD->INDUCES,200
PSMD10->INDUCES,200
TERF1->INDUCES,199
ING5->INDUCES,199
HTRA2->INDUCES,199
ECT2->INDUCES,199
CTTNBP2->INDUCES,198
NHERF2->INDUCES,198
PKP3->INDUCES,198
CD2AP->INDUCES,197
FBXW7->INDUCES,197
MDC1->INDUCES,197
SQSTM1->INDUCES,197
MAPK11->INDUCES,197
BECN1->INDUCES,197
TIAM1->INDUCES,197
PPP3CA->INDUCES,197
EIF3J->INDUCES,197
ARFGEF1->INDUCES,196
