Combined:Interactions,count
PKN1->REGULATES,109
CCNA1->INDUCES,109
YWHAZ->INDUCES,109
UBE2E1->INDUCES,109
ZNF268->INDUCES,109
ANXA2->INDUCES,109
ASF1A->INDUCES,109
NFATC2->INDUCES,109
BMPR2->INDUCES,109
TSHR->INDUCES,109
PFN1->INDUCES,109
RPH3A->INDUCES,109
RMI1->INDUCES,108
BCL2L11->INDUCES,108
FKBP3->INDUCES,108
HMGB1->INDUCES,108
POLR2L->INDUCES,108
DAPK1->INDUCES,108
BAX->INDUCES,108
LAMC1->INDUCES,108
FCGR2A->INDUCES,108
STMN1->INDUCES,107
DDX5->INDUCES,107
KCNA2->INDUCES,107
BMP2->INDUCES,107
GAK->INDUCES,107
ARHGDIA->INDUCES,107
SLC2A1->INDUCES,107
C1QBP->INDUCES,107
ARRDC3->INDUCES,107
IKBKB->REGULATES,107
PRKG1->INDUCES,107
RAB7A->INDUCES,107
NR1H3->INDUCES,106
CHD1->INDUCES,106
RAB1A->INDUCES,106
CAMK1->INDUCES,106
NUF2->INDUCES,106
ELF3->INDUCES,106
AKAP5->INDUCES,106
NEK2->INDUCES,106
JUND->INDUCES,105
PARD6B->INDUCES,105
DDB2->INDUCES,105
EXOSC8->INDUCES,105
GAR1->INDUCES,105
BCOR->INDUCES,105
ITGAV->INDUCES,105
INCENP->INDUCES,105
CASP10->INDUCES,105
MED19->INDUCES,104
CYFIP1->INDUCES,104
ATXN1->INDUCES,104
BTC->INDUCES,104
FXR1->INDUCES,104
EFNB2->INDUCES,104
FLNC->INDUCES,104
IRS4->INDUCES,104
EEF2K->INDUCES,104
COPZ1->INDUCES,103
IFNAR1->INDUCES,103
RNF41->INDUCES,103
RPS29->INDUCES,103
RACGAP1->INDUCES,103
MSH3->INDUCES,103
DYNC1H1->INDUCES,103
SEH1L->INDUCES,103
SOD1->INDUCES,103
DYNC1I2->INDUCES,102
SNX9->INDUCES,102
NR0B2->INDUCES,102
COL7A1->INDUCES,102
SDC2->INDUCES,101
PPFIA1->INDUCES,101
NR2C2->INDUCES,101
PPP3CB->INDUCES,101
RRP1B->INDUCES,101
PROC->INDUCES,101
NGFR->INDUCES,100
TP73->INDUCES,100
EPHA3->INDUCES,100
SUFU->INDUCES,100
PES1->INDUCES,100
SRFBP1->INDUCES,100
PPP1R8->INDUCES,100
CNOT8->INDUCES,100
MAGED1->INDUCES,100
HSPG2->INDUCES,100
RPS10->INDUCES,100
SDC3->INDUCES,100
FXR2->INDUCES,100
COP1->INDUCES,100
BCL11B->INDUCES,100
SSH1->INDUCES,100
DNAJA1->INDUCES,100
HMGA1->INDUCES,100
LSM8->INDUCES,99
ITGA1->INDUCES,99
TBL1X->INDUCES,99
RXRB->INDUCES,99
RPS6KA2->INDUCES,99
MAPK13->INDUCES,99
DCC->INDUCES,99
ICAM2->INDUCES,99
CDC26->INDUCES,99
CPSF2->INDUCES,99
SF3A1->INDUCES,99
NSF->INDUCES,99
TARDBP->INDUCES,98
ATP6V1B1->INDUCES,98
HNRNPL->INDUCES,98
MAVS->INDUCES,98
MAP4K5->INDUCES,98
OCLN->INDUCES,98
MAX->INDUCES,98
DOK4->INDUCES,98
MOB4->INDUCES,98
TROAP->INDUCES,98
FN1->UNCLEAR,98
SDC4->INDUCES,98
CCND3->INDUCES,98
ATF3->INDUCES,98
PPID->INDUCES,98
ARPC3->INDUCES,98
EXO1->INDUCES,98
PTTG1->INDUCES,97
SF3B3->INDUCES,97
TAB1->INDUCES,97
MMP14->INDUCES,97
MNAT1->INDUCES,97
CSF3R->INDUCES,97
EIF1AX->INDUCES,97
MEAF6->INDUCES,97
TNFRSF10A->INDUCES,97
SNX4->INDUCES,97
HNRNPU->INDUCES,97
CTSL->INDUCES,96
BRD2->INDUCES,96
PARD6A->INDUCES,96
COPB1->INDUCES,96
GRK2->REGULATES,96
CASP2->INDUCES,96
ITGA5->INDUCES,96
SH3GL3->INDUCES,96
CSNK2A2->REGULATES,96
STK39->INDUCES,96
NBR1->INDUCES,96
BAK1->INDUCES,96
GATA2->INDUCES,96
SMC3->INDUCES,95
LAMB1->INDUCES,95
SYN1->INDUCES,95
BMP1->INDUCES,95
DYNLL1->INDUCES,95
FUS->INDUCES,95
BAG1->INDUCES,95
NCF4->INDUCES,95
KCNJ12->INDUCES,94
DCP2->INDUCES,94
TAF7->INDUCES,94
POLR3D->INDUCES,94
CNOT3->INDUCES,94
PRR5L->INDUCES,94
TSSK6->INDUCES,94
CNOT9->INDUCES,94
DCAF13->INDUCES,94
ZBTB33->INDUCES,94
RPA3->INDUCES,94
DYNLT3->INDUCES,94
NPAS2->INDUCES,94
LARP7->INDUCES,93
KHDRBS3->INDUCES,93
H2AZ2->INDUCES,93
UFD1->INDUCES,93
RFC2->INDUCES,93
PPP2R5C->INDUCES,93
ERCC6L->INDUCES,93
REST->INDUCES,93
LEO1->INDUCES,93
ACP1->INDUCES,93
HOMER3->INDUCES,93
PGK2->INDUCES,93
NR2F2->INDUCES,93
IKBKE->INDUCES,92
ERCC4->INDUCES,92
CAMKK2->INDUCES,92
ACTL6B->INDUCES,92
TICAM1->INDUCES,92
NOP14->INDUCES,92
FNBP1->INDUCES,92
DAB2->INDUCES,92
MED9->INDUCES,92
LBR->INDUCES,91
EIF3L->INDUCES,91
EFNA5->INDUCES,91
ITGB7->INDUCES,91
TTR->INDUCES,91
NRCAM->INDUCES,91
ARHGAP1->INDUCES,91
NLK->INDUCES,91
RGS3->INDUCES,91
EPN2->INDUCES,91
STX2->INDUCES,91
BCL3->INDUCES,91
CBLC->INDUCES,91
DLD->INDUCES,91
VRK1->INDUCES,90
MRPS7->INDUCES,90
FGFR2->INDUCES,90
CRYAB->INDUCES,90
CLIC5->INDUCES,90
NUP37->INDUCES,90
F11R->INDUCES,90
KSR1->INDUCES,90
APOB->INDUCES,90
RAB8B->INDUCES,90
MAP2K4->UNCLEAR,90
NUMA1->INDUCES,89
TAF1A->INDUCES,89
ATF6->INDUCES,89
KNG1->INDUCES,89
GPN1->INDUCES,89
EED->INDUCES,89
ACACA->INDUCES,89
ATP6V1A->INDUCES,89
TANC1->INDUCES,89
KNL1->INDUCES,89
TOR1A->INDUCES,89
PRKCZ->REGULATES,88
PLK3->INDUCES,88
ARCN1->INDUCES,88
COPA->INDUCES,88
MYBL2->INDUCES,88
GABARAPL2->INDUCES,88
CSNK1D->REGULATES,88
CCND2->INDUCES,87
CASP9->UNCLEAR,87
VAMP3->INDUCES,87
ELAVL1->INDUCES,87
EPAS1->INDUCES,87
RRAGA->INDUCES,87
LAMC2->INDUCES,87
IL10RA->INDUCES,87
NUP160->INDUCES,87
ING2->INDUCES,87
STXBP3->INDUCES,87
MITF->INDUCES,87
NOTCH3->INDUCES,87
TNS4->INDUCES,87
BMP4->INDUCES,87
PAAF1->INDUCES,87
FKBP4->INDUCES,87
CDC34->INDUCES,87
TRPC6->INDUCES,87
RPS6KA1->REGULATES,86
AKT1->UNCLEAR,86
VAMP4->INDUCES,86
PDE3A->INDUCES,86
IFNGR1->INDUCES,86
ATRIP->INDUCES,86
TRIM33->INDUCES,86
NFE2->INDUCES,86
CSNK2B->INDUCES,86
EEA1->INDUCES,86
YKT6->INDUCES,85
DNTT->INDUCES,85
SRSF6->INDUCES,85
PROS1->INDUCES,85
VANGL1->INDUCES,85
POT1->INDUCES,85
TP53->UNCLEAR,85
SUV39H1->INDUCES,85
APPL1->INDUCES,85
SHANK2->INDUCES,85
ITGA2->INDUCES,85
SSB->INDUCES,85
ATP5F1A->INDUCES,85
PEA15->INDUCES,84
TDP1->INDUCES,84
BICD2->INDUCES,84
TELO2->INDUCES,84
UBA1->INDUCES,84
ACTR3->INDUCES,84
DCAF7->INDUCES,84
IKZF2->INDUCES,84
HIRA->INDUCES,84
MTREX->INDUCES,84
MPDZ->INDUCES,84
DNMT3A->INDUCES,83
PNO1->INDUCES,83
SERPINC1->INDUCES,83
PTPN11->INDUCES,83
RAB10->INDUCES,83
GORASP2->INDUCES,83
XRCC4->INDUCES,83
STAT4->INDUCES,83
RPS6KA4->INDUCES,82
PPP2R5D->INDUCES,82
LDB1->INDUCES,82
ARID1B->INDUCES,82
LRRC7->INDUCES,82
PTPRA->INDUCES,82
TRADD->INDUCES,82
EFNA4->INDUCES,82
GSK3A->REGULATES,82
PLAUR->INDUCES,82
MAPKAPK2->REGULATES,82
FLII->INDUCES,82
SRSF7->INDUCES,82
PPP2R5B->INDUCES,82
USP13->INDUCES,82
AGO4->INDUCES,82
NHP2->INDUCES,82
SHOC2->INDUCES,82
PACSIN1->INDUCES,82
USP20->INDUCES,81
POLE->INDUCES,81
CDK4->REGULATES,81
SCAMP3->INDUCES,81
TRIP4->INDUCES,81
FAF2->INDUCES,81
CD47->INDUCES,81
CENPC->INDUCES,81
AGTR1->INDUCES,81
HIP1R->INDUCES,81
SS18->INDUCES,81
MVB12A->INDUCES,81
MELK->INDUCES,80
ATP5IF1->INDUCES,80
STX1B->INDUCES,80
ROCK1->REGULATES,80
RRM1->INDUCES,80
PRKD1->REGULATES,80
KLC1->INDUCES,80
MALT1->INDUCES,80
NDUFA2->INDUCES,80
CTSD->INDUCES,80
BIRC6->INDUCES,80
SNUPN->INDUCES,80
CNOT1->INDUCES,79
RAB11FIP2->INDUCES,79
RAD18->INDUCES,79
APC->UNCLEAR,79
MYOZ2->INDUCES,79
FGFR1->INDUCES,79
TANK->INDUCES,79
FANCG->INDUCES,79
PSPC1->INDUCES,79
FANCE->INDUCES,78
SYK->REGULATES,78
GFM1->INDUCES,78
RHOQ->INDUCES,78
ZNF622->INDUCES,78
COL5A2->INDUCES,78
RAB2A->INDUCES,78
AIFM1->INDUCES,78
KAT5->INDUCES,78
IRF7->INDUCES,78
CTNNA2->INDUCES,78
DNMT3B->INDUCES,78
RAB27A->INDUCES,78
NMD3->INDUCES,78
MAP4K4->INDUCES,78
HEXIM1->INDUCES,78
ARFGEF2->INDUCES,78
AKT2->REGULATES,78
ATP6V0A1->INDUCES,78
EXOSC4->INDUCES,77
ZNF239->INDUCES,77
RAB4A->INDUCES,77
LSM2->INDUCES,77
SUGT1->INDUCES,77
COPG1->INDUCES,77
TAF12->INDUCES,77
EPHB6->INDUCES,77
PRKCE->REGULATES,77
F5->INDUCES,77
PKN2->INDUCES,77
CLTB->INDUCES,77
TBK1->REGULATES,77
NOC4L->INDUCES,77
GABARAPL1->INDUCES,77
LRRK2->REGULATES,77
WBP4->INDUCES,77
EFNA2->INDUCES,77
TYROBP->INDUCES,76
HTATSF1->INDUCES,76
ETS2->INDUCES,76
ATP6V1D->INDUCES,76
DOK5->INDUCES,76
BICD1->INDUCES,76
OCRL->INDUCES,76
LIN7B->INDUCES,76
REPS1->INDUCES,76
DNMBP->INDUCES,76
MED27->INDUCES,76
EDC3->INDUCES,76
SCN3A->INDUCES,76
REPS2->INDUCES,76
RYBP->INDUCES,76
SIK3->INDUCES,76
NOL3->INDUCES,76
SNRPA->INDUCES,76
FSHR->INDUCES,76
TRPC1->INDUCES,75
TG->INDUCES,75
BABAM2->INDUCES,75
PPP2R5E->INDUCES,75
PABPC1->INDUCES,75
ATF1->INDUCES,75
ULK1->REGULATES,75
GRPEL1->INDUCES,75
HMG20B->INDUCES,75
EPS8L2->INDUCES,75
TLN2->INDUCES,75
MCL1->UNCLEAR,74
GNA12->INDUCES,74
CAMLG->INDUCES,74
RNF20->INDUCES,74
PFN2->INDUCES,74
ARF4->INDUCES,74
VANGL2->INDUCES,74
GNA15->INDUCES,74
PPIA->INDUCES,74
PPM1D->INDUCES,74
WNK1->INDUCES,73
AP3B1->INDUCES,73
SLC2A4->INDUCES,73
EPS8L1->INDUCES,73
SH3GLB2->INDUCES,73
NCAPH->INDUCES,73
USP1->INDUCES,73
CRNKL1->INDUCES,73
ULK2->INDUCES,73
ZNF335->INDUCES,73
CD72->INDUCES,73
LAX1->INDUCES,73
TOPORS->INDUCES,73
CXCL8->INDUCES,73
DCAF1->INDUCES,73
EGR1->INDUCES,73
CDKN2C->INDUCES,73
DEDD->INDUCES,73
ALOX12->INDUCES,73
IRF2->INDUCES,72
MED16->INDUCES,72
PACSIN2->INDUCES,72
TP63->INDUCES,72
CTNNBIP1->INDUCES,72
SMARCD2->INDUCES,72
CLASP1->INDUCES,72
CHEK2->REGULATES,72
CA2->INDUCES,72
NEDD4L->INDUCES,72
EPB41L3->INDUCES,72
GNA13->INDUCES,72
MAGOH->INDUCES,72
BGN->INDUCES,72
EEF1A1->INDUCES,72
TP53BP2->INDUCES,72
LRP8->INDUCES,71
PACSIN3->INDUCES,71
LSM7->INDUCES,71
MYOG->INDUCES,71
IKBKG->INDUCES,71
GEMIN4->INDUCES,71
EPHB1->INDUCES,71
LSM3->INDUCES,71
RPS6KA3->REGULATES,71
TLE1->INDUCES,71
HSPH1->INDUCES,71
ELANE->INDUCES,71
MAP2->INDUCES,71
PTGES3->INDUCES,71
MAP4K2->INDUCES,71
LIG4->INDUCES,71
HPCAL1->INDUCES,71
CTNND2->INDUCES,71
CDCP1->INDUCES,71
PRKG1->REGULATES,71
CAMK2A->INDUCES,71
SIK1->INDUCES,70
CNOT2->INDUCES,70
LAMA2->INDUCES,70
TAF1C->INDUCES,70
DMAP1->INDUCES,70
BUB1B->UNCLEAR,70
ATP6V1C1->INDUCES,70
LIFR->INDUCES,70
JDP2->INDUCES,70
NMT1->INDUCES,70
SH3GLB1->INDUCES,70
JARID2->INDUCES,70
CYTH1->INDUCES,70
TAX1BP1->INDUCES,70
FZD5->INDUCES,70
NEB->INDUCES,70
DDA1->INDUCES,70
CNTNAP2->INDUCES,70
ENO1->INDUCES,70
KCNJ1->INDUCES,70
PRPF31->INDUCES,70
BCL9->INDUCES,70
MRGBP->INDUCES,70
ZNF224->INDUCES,70
ADD2->INDUCES,70
EXOSC2->INDUCES,70
PIM1->REGULATES,70
CDYL->INDUCES,70
TENT4A->INDUCES,70
RANBP1->INDUCES,70
FGA->INDUCES,70
IL3RA->INDUCES,70
TADA3->INDUCES,69
PAIP2->INDUCES,69
DDX23->INDUCES,69
TTK->REGULATES,69
GSPT1->INDUCES,69
ATF7IP->INDUCES,69
RB1CC1->INDUCES,69
DLG1->UNCLEAR,69
APLP2->INDUCES,69
PDIA3->INDUCES,69
TERF2->UNCLEAR,69
SMURF2->INDUCES,68
FKBP5->INDUCES,68
TAF4->INDUCES,68
IPO7->INDUCES,68
CD3D->INDUCES,68
SOCS5->INDUCES,68
LIMK2->INDUCES,68
GGCX->INDUCES,68
DYNC1I1->INDUCES,68
ZHX2->INDUCES,68
EMSY->INDUCES,68
MRPL11->INDUCES,68
THRAP3->INDUCES,68
FOXG1->INDUCES,68
LDLRAP1->INDUCES,67
SGK1->REGULATES,67
NOL10->INDUCES,67
CADM1->INDUCES,67
CUL5->INDUCES,67
RIN2->INDUCES,67
GRK5->INDUCES,67
AHSA1->INDUCES,67
NR2F1->INDUCES,66
STXBP2->INDUCES,66
CNTNAP1->INDUCES,66
MAD1L1->INDUCES,66
NRGN->INDUCES,66
VWF->INDUCES,66
RPS6KA5->UNCLEAR,66
COL11A1->INDUCES,66
TAF5->INDUCES,66
COL5A1->INDUCES,66
ATP6V0D1->INDUCES,66
NEK6->INDUCES,66
BSG->INDUCES,66
PPP1R13L->INDUCES,66
ATP5F1C->INDUCES,66
AMER1->INDUCES,66
TEAD1->INDUCES,66
MDM2->UNCLEAR,65
DTNBP1->INDUCES,65
ERCC8->INDUCES,65
CDKN1C->INDUCES,65
DAAM1->INDUCES,65
PLIN3->INDUCES,65
GAP43->INDUCES,65
STXBP1->INDUCES,65
ARHGDIB->INDUCES,65
MRTFB->UNCLEAR,65
RFC5->INDUCES,65
FBN1->INDUCES,65
EDF1->INDUCES,65
MAPKAPK2->UNCLEAR,65
RFX1->INDUCES,65
ATP6V1E1->INDUCES,65
MT-CO2->INDUCES,65
GMNN->INDUCES,65
RPS6KA1->UNCLEAR,65
MKNK1->UNCLEAR,65
TCEAL4->INDUCES,65
HIVEP1->UNCLEAR,65
PVR->INDUCES,65
ASPM->INDUCES,64
EREG->INDUCES,64
VAMP8->INDUCES,64
PDZK1->INDUCES,64
HIPK2->REGULATES,64
TACC2->INDUCES,64
RAB3A->INDUCES,64
SH3RF1->INDUCES,64
FOS->UNCLEAR,64
EGLN1->INDUCES,64
OSBP2->INDUCES,64
NFKBIB->INDUCES,64
FXYD1->INDUCES,64
GEMIN6->INDUCES,64
CDC25A->UNCLEAR,64
MS4A1->INDUCES,64
FLT4->INDUCES,63
CNTN2->INDUCES,63
POLR2D->INDUCES,63
NKD1->INDUCES,63
CDK3->INDUCES,63
RCC1->INDUCES,63
GPHN->INDUCES,63
HSPBP1->INDUCES,63
AATF->INDUCES,63
CD68->INDUCES,63
HIF1A->UNCLEAR,63
DLG5->INDUCES,63
UBE2M->INDUCES,63
MME->INDUCES,63
NCOA3->UNCLEAR,63
MAU2->INDUCES,63
PAWR->INDUCES,63
GABPA->INDUCES,63
NTRK3->INDUCES,63
OSMR->INDUCES,63
RASGRF1->INDUCES,63
MDH2->INDUCES,62
AXL->INDUCES,62
IL2RG->INDUCES,62
RFC4->INDUCES,62
SERTAD2->INDUCES,62
CHAF1B->INDUCES,62
HUWE1->INDUCES,62
NKX2-5->INDUCES,62
HAUS8->INDUCES,62
TTI1->INDUCES,62
SYNRG->INDUCES,62
SKAP1->INDUCES,62
EVL->INDUCES,62
CEP250->INDUCES,62
MAPK9->REGULATES,62
NCAPD2->INDUCES,62
BBS4->INDUCES,62
BAG3->INDUCES,62
SNAP91->INDUCES,62
FCER1G->INDUCES,62
APBB1->INDUCES,61
PPP2CA->REGULATES,61
NIP7->INDUCES,61
PPP2CB->REGULATES,61
POLR3F->INDUCES,61
EP400->INDUCES,61
BACE1->INDUCES,61
DDX17->INDUCES,61
NFE2L2->INDUCES,61
SLC9A1->INDUCES,61
BAG4->INDUCES,61
KRT20->INDUCES,61
ITGAL->INDUCES,61
XRN2->INDUCES,61
SMTNL2->UNCLEAR,61
JAK2->REGULATES,61
BMPR1B->INDUCES,61
FANCI->INDUCES,61
TUBGCP2->INDUCES,61
HAUS3->INDUCES,61
TNFAIP1->INDUCES,61
LATS1->INDUCES,61
KCTD10->INDUCES,61
PPM1J->UNCLEAR,61
CCNL2->INDUCES,61
C3->INDUCES,60
ELOC->INDUCES,60
DCTN4->INDUCES,60
CSTF1->INDUCES,60
ADAP1->INDUCES,60
SEPTIN2->INDUCES,60
MAD2L2->INDUCES,60
COPS2->INDUCES,60
DTL->INDUCES,60
PDK1->REGULATES,60
ATG14->INDUCES,60
SETMAR->INDUCES,60
MLLT10->INDUCES,60
CDCA5->INDUCES,60
KPNA6->INDUCES,60
MRPL4->INDUCES,60
GNL2->INDUCES,60
CDH18->INDUCES,60
FXYD7->INDUCES,59
UPF3B->INDUCES,59
DDOST->INDUCES,59
EIF4G3->INDUCES,59
FBN1->UNCLEAR,59
POLR1B->INDUCES,59
SNRPE->INDUCES,59
RCL1->INDUCES,59
ECPAS->INDUCES,59
PHLPP2->INDUCES,59
DUSP16->INDUCES,59
ING1->INDUCES,59
KCNA4->INDUCES,59
HSPB8->INDUCES,59
GINS1->INDUCES,59
FABP4->INDUCES,59
F13A1->INDUCES,59
F9->INDUCES,59
GFM2->INDUCES,59
SPRY4->INDUCES,59
ANK2->INDUCES,59
NOB1->INDUCES,58
TP53RK->INDUCES,58
TNKS1BP1->INDUCES,58
ZNF74->INDUCES,58
SIAH1->INDUCES,58
CDK14->INDUCES,58
PEX19->INDUCES,58
AGO1->INDUCES,58
COL5A3->INDUCES,58
FBXW5->INDUCES,58
TSC22D3->INDUCES,58
DHX38->INDUCES,58
INSR->REGULATES,58
BAG2->INDUCES,58
STON2->INDUCES,58
UBE3A->INDUCES,58
HOMER1->INDUCES,58
DPYSL5->INDUCES,58
RAD1->INDUCES,58
PPP3R1->INDUCES,58
MED4->INDUCES,58
CNTN1->INDUCES,57
TAF1B->INDUCES,57
NID1->INDUCES,57
DNAJC6->INDUCES,57
MCMBP->INDUCES,57
LAMA3->INDUCES,57
FPR1->INDUCES,57
AKAP13->INDUCES,57
AJUBA->INDUCES,57
CDH11->INDUCES,57
NCSTN->INDUCES,57
PPARA->INDUCES,57
NR2C1->INDUCES,57
ACTR1A->INDUCES,57
NSL1->INDUCES,57
IRF1->INDUCES,57
RLIM->INDUCES,57
PAK2->REGULATES,57
DNAJA3->INDUCES,57
SRPK2->INDUCES,57
GEMIN5->INDUCES,56
ATP6V0A4->INDUCES,56
TCL1A->INDUCES,56
CRYBB2->INDUCES,56
PTK6->INDUCES,56
DAPK3->INDUCES,56
ARHGAP17->INDUCES,56
PTPN21->INDUCES,56
CTSB->INDUCES,56
ZFYVE16->INDUCES,56
GLRX->INDUCES,56
GZMA->INDUCES,56
CHD8->INDUCES,56
CD3E->UNCLEAR,56
NPM1->UNCLEAR,56
TAF8->INDUCES,56
RAG1->INDUCES,56
WWTR1->UNCLEAR,55
PKMYT1->INDUCES,55
DERL1->INDUCES,55
RASSF2->INDUCES,55
LLGL1->INDUCES,55
AKAP12->INDUCES,55
SPARC->INDUCES,55
GOLPH3->INDUCES,55
DCP1B->INDUCES,55
MAGI3->INDUCES,55
ETV6->INDUCES,55
SPRY1->INDUCES,55
KDM2B->INDUCES,55
TH->INDUCES,55
TRPM7->REGULATES,55
RPH3AL->INDUCES,55
HAUS6->INDUCES,55
F2RL1->INDUCES,55
TLE2->INDUCES,55
RIPK2->UNCLEAR,55
EPS8L3->INDUCES,55
FLOT2->INDUCES,55
LUC7L3->INDUCES,55
SIAH2->INDUCES,55
ELL->INDUCES,55
TSHZ3->UNCLEAR,55
AP3S2->INDUCES,54
BID->INDUCES,54
LSM5->INDUCES,54
CACYBP->INDUCES,54
RAB27B->INDUCES,54
CITED1->INDUCES,54
WIPI1->INDUCES,54
NDFIP2->INDUCES,54
SDAD1->INDUCES,54
IRF8->INDUCES,54
SNX5->INDUCES,54
EEF1D->INDUCES,54
CAMK4->INDUCES,54
SATB1->INDUCES,53
PSMA8->INDUCES,53
TRIM63->INDUCES,53
OPRD1->INDUCES,53
RAB11A->INDUCES,53
BECN1->UNCLEAR,53
CDK7->REGULATES,53
NUP85->INDUCES,53
F2R->INDUCES,53
AMFR->INDUCES,53
AGL->INDUCES,53
LNPEP->INDUCES,53
CS->INDUCES,53
FSCN1->INDUCES,53
SERPINA5->INDUCES,53
CSNK1E->REGULATES,53
S100A4->INDUCES,53
UBE2L6->INDUCES,53
BMPR1A->INDUCES,53
CSF1->INDUCES,53
GINS2->INDUCES,53
EHD1->INDUCES,53
SGO2->INDUCES,53
ATP6V1E2->INDUCES,53
PLCG1->INDUCES,52
KHDRBS2->INDUCES,52
CXXC1->INDUCES,52
RARB->INDUCES,52
EXOSC1->INDUCES,52
CDK9->REGULATES,52
PHF21A->INDUCES,52
PCNT->INDUCES,52
RELB->INDUCES,52
MKNK1->INDUCES,52
GRIPAP1->INDUCES,52
HIPK3->INDUCES,52
GTF3C5->INDUCES,52
TEK->INDUCES,52
ARPC2->INDUCES,52
RB1CC1->UNCLEAR,52
PDGFB->INDUCES,52
TRIM24->INDUCES,52
ATG5->INDUCES,52
GOLGA3->INDUCES,52
GTF3C4->INDUCES,52
KHSRP->INDUCES,52
SAP30->INDUCES,52
SYT2->INDUCES,52
RPS6KB1->REGULATES,52
USP25->INDUCES,51
TUB->INDUCES,51
AIMP1->INDUCES,51
PAGR1->INDUCES,51
RBPMS->INDUCES,51
PPP1R2->INDUCES,51
GTF3C3->INDUCES,51
ATP5PO->INDUCES,51
OSBPL10->INDUCES,51
NCKIPSD->INDUCES,51
NFKBIE->INDUCES,51
TAF2->INDUCES,51
PITPNM3->INDUCES,51
ZFYVE9->INDUCES,51
ZWILCH->INDUCES,51
CMTM8->INDUCES,51
FOSL2->INDUCES,51
SPTBN2->INDUCES,51
NPPA->INDUCES,51
ASIP->INDUCES,51
PBK->INDUCES,51
DLGAP3->INDUCES,51
RHEBL1->INDUCES,51
ELP3->INDUCES,51
PATJ->INDUCES,51
CNKSR2->INDUCES,51
TOM1L2->INDUCES,51
TYRO3->INDUCES,51
RNF8->INDUCES,50
CIB1->INDUCES,50
BRD8->INDUCES,50
SLX4->INDUCES,50
USF2->INDUCES,50
RPN1->INDUCES,50
DDIT4->INDUCES,50
DOCK7->INDUCES,50
AKTIP->INDUCES,50
FIS1->INDUCES,50
LTK->INDUCES,50
CCNE2->INDUCES,50
LPAR1->INDUCES,50
ATG3->INDUCES,50
SCYL2->INDUCES,49
FOXP3->INDUCES,49
ACHE->INDUCES,49
ATP6V0A2->INDUCES,49
DAZ1->INDUCES,49
PRKCG->REGULATES,49
CDK1->UNCLEAR,49
CENPJ->INDUCES,49
HUS1->INDUCES,49
DHFR->INDUCES,49
RRAGD->INDUCES,49
HBEGF->INDUCES,49
CDKL2->INDUCES,49
ADAM10->INDUCES,49
LAMC3->INDUCES,49
MARCKS->INDUCES,49
SSH3->INDUCES,49
PPP1R1B->INDUCES,49
TWIST1->INDUCES,49
ATP6V1C2->INDUCES,49
CAVIN2->INDUCES,49
CDC7->REGULATES,49
PPARGC1B->INDUCES,49
IKZF1->INDUCES,49
ATP2B4->INDUCES,49
PIK3R4->INDUCES,49
NELFB->INDUCES,48
KCTD13->INDUCES,48
EDNRA->INDUCES,48
MYO6->INDUCES,48
CETN2->INDUCES,48
SYNJ2->INDUCES,48
POLR2J->INDUCES,48
SCN2A->INDUCES,48
GJB1->INDUCES,48
SFN->INDUCES,48
EXOSC7->INDUCES,48
PEBP4->INDUCES,48
TFDP1->INDUCES,48
EXOSC5->INDUCES,48
CYC1->INDUCES,48
EXOSC9->INDUCES,48
PNKP->INDUCES,48
WNK4->INDUCES,48
CEACAM5->INDUCES,48
NFATC3->UNCLEAR,48
CD22->INDUCES,48
CNKSR1->INDUCES,48
MRPL17->INDUCES,48
MDK->INDUCES,48
SMAD6->INDUCES,48
EFNA3->INDUCES,48
TOLLIP->INDUCES,48
EGLN3->INDUCES,48
TRAF3IP1->INDUCES,48
COMMD1->INDUCES,48
KCNB1->INDUCES,48
CAV3->INDUCES,48
ZIC2->INDUCES,48
ZNF382->INDUCES,48
MMP9->INDUCES,48
NFYB->INDUCES,47
BCCIP->INDUCES,47
CYP51A1->INDUCES,47
PTHLH->INDUCES,47
RNF43->INDUCES,47
ACBD3->INDUCES,47
WDTC1->INDUCES,47
LMO2->INDUCES,47
CENPH->INDUCES,47
RRAGC->INDUCES,47
STK4->INDUCES,47
PRICKLE1->INDUCES,47
CNOT10->INDUCES,47
FBXO5->INDUCES,47
ARNT2->INDUCES,47
WDR77->INDUCES,47
TF->INDUCES,47
CBFA2T3->INDUCES,47
RSU1->INDUCES,47
JUN->UNCLEAR,47
NAA15->INDUCES,47
UBL4A->INDUCES,47
TAF6->INDUCES,47
RPAP1->INDUCES,47
GAPDHS->INDUCES,47
PITPNM1->INDUCES,47
BCL9L->INDUCES,47
NFATC2IP->INDUCES,47
MEF2C->INDUCES,47
NEBL->INDUCES,47
TNIP2->INDUCES,47
NAB2->INDUCES,47
DUSP3->INDUCES,47
KPNA4->INDUCES,47
KTN1->INDUCES,47
DAB2IP->INDUCES,47
ATP5PF->INDUCES,47
PRKAA2->REGULATES,46
SIRPA->INDUCES,46
ESRRB->INDUCES,46
SIRT3->INDUCES,46
POMC->INDUCES,46
RMDN3->INDUCES,46
SRSF5->INDUCES,46
ABRAXAS2->INDUCES,46
WIPF2->INDUCES,46
EIF2AK1->INDUCES,46
SLC22A4->INDUCES,46
NAA10->INDUCES,46
DMPK->INDUCES,46
M6PR->INDUCES,46
GDI1->INDUCES,46
RGS2->INDUCES,46
GTF3A->INDUCES,46
DXO->INDUCES,46
TMF1->INDUCES,46
